ACCELERATION BODY X,ACCELERATION BODY Y,ACCELERATION BODY Z,TOTAL WEIGHT,PLANE ALTITUDE,ATTITUDE INDICATOR PITCH DEGREES,ATTITUDE INDICATOR BANK DEGREES,
 24_1_2023 16:13:23,0.000000, 0.000000, 0.000000, 1784.000000, 602.135864, -20.000000, 29.000000, 
 24_1_2023 16:13:23,0.000000, 0.000000, 0.000000, 1784.000000, 602.135864, 0.000000, 29.000000, 
 24_1_2023 16:13:23,0.000000, 0.000000, 0.000000, 1784.000000, 602.135864, 0.000000, 0.000000, 
 24_1_2023 16:13:26,0.000000, 0.000000, 0.000000, 1784.000000, 602.140015, 0.000000, 0.000000, 
 24_1_2023 16:13:36,-0.247071, 0.000000, 0.000000, 1784.000000, 602.140015, 0.000000, 0.000000, 
 24_1_2023 16:13:36,-0.247071, -2.751248, 0.000000, 1784.000000, 602.140015, 0.000000, 0.000000, 
 24_1_2023 16:13:36,-0.247071, -2.751248, 0.257222, 1784.000000, 602.140015, 0.000000, 0.000000, 
 24_1_2023 16:13:36,-0.247071, -2.751248, 0.257222, 1784.000000, 600.754883, 0.000000, 0.000000, 
 24_1_2023 16:13:36,-0.247071, -2.751248, 0.257222, 1784.000000, 600.754883, -0.497982, 0.000000, 
 24_1_2023 16:13:36,-0.247071, -2.751248, 0.257222, 1784.000000, 600.754883, -0.497982, 0.011193, 
 24_1_2023 16:13:36,0.431622, -2.751248, 0.257222, 1784.000000, 600.754883, -0.497982, 0.011193, 
 24_1_2023 16:13:36,0.431622, 0.043189, 0.257222, 1784.000000, 600.754883, -0.497982, 0.011193, 
 24_1_2023 16:13:36,0.431622, 0.043189, 0.098167, 1784.000000, 600.754883, -0.497982, 0.011193, 
 24_1_2023 16:13:36,0.431622, 0.043189, 0.098167, 1784.000000, 600.730530, -0.497982, 0.011193, 
 24_1_2023 16:13:36,0.431622, 0.043189, 0.098167, 1784.000000, 600.730530, -0.375728, 0.011193, 
 24_1_2023 16:13:36,0.431622, 0.043189, 0.098167, 1784.000000, 600.730530, -0.375728, 0.035733, 
 24_1_2023 16:13:37,0.605404, 0.043189, 0.098167, 1784.000000, 600.730530, -0.375728, 0.035733, 
 24_1_2023 16:13:37,0.605404, 0.067475, 0.098167, 1784.000000, 600.730530, -0.375728, 0.035733, 
 24_1_2023 16:13:37,0.605404, 0.067475, -0.178453, 1784.000000, 600.730530, -0.375728, 0.035733, 
 24_1_2023 16:13:37,0.605404, 0.067475, -0.178453, 1783.999512, 600.730530, -0.375728, 0.035733, 
 24_1_2023 16:13:37,0.605404, 0.067475, -0.178453, 1783.999512, 600.726746, -0.375728, 0.035733, 
 24_1_2023 16:13:37,0.605404, 0.067475, -0.178453, 1783.999512, 600.726746, -0.481339, 0.035733, 
 24_1_2023 16:13:37,0.605404, 0.067475, -0.178453, 1783.999512, 600.726746, -0.481339, 0.039415, 
 24_1_2023 16:13:38,0.000000, 0.067475, -0.178453, 1783.999512, 600.726746, -0.481339, 0.039415, 
 24_1_2023 16:13:38,0.000000, 0.000000, -0.178453, 1783.999512, 600.726746, -0.481339, 0.039415, 
 24_1_2023 16:13:38,0.000000, 0.000000, 0.000000, 1783.999512, 600.726746, -0.481339, 0.039415, 
