ACCELERATION BODY X,ACCELERATION BODY Y,ACCELERATION BODY Z,TOTAL WEIGHT,PLANE ALTITUDE,ATTITUDE INDICATOR PITCH DEGREES,ATTITUDE INDICATOR BANK DEGREES,
 24_1_2023 16:24:35,0.360726, 0.061006, -0.038419, 1859.166748, 605.058350, -0.073678, -0.258785, 
 24_1_2023 16:24:35,0.360726, 0.197028, -0.038419, 1859.166748, 605.058350, -0.073678, -0.258785, 
 24_1_2023 16:24:35,0.360726, 0.197028, 0.349153, 1859.166748, 605.058350, -0.073678, -0.258785, 
 24_1_2023 16:24:35,0.360726, 0.197028, 0.349153, 1859.162598, 605.058350, -0.073678, -0.258785, 
 24_1_2023 16:24:35,0.360726, 0.197028, 0.349153, 1859.162598, 605.058777, -0.073678, -0.258785, 
 24_1_2023 16:24:35,0.360726, 0.197028, 0.349153, 1859.162598, 605.058777, -0.232430, -0.258785, 
 24_1_2023 16:24:35,0.360726, 0.197028, 0.349153, 1859.162598, 605.058777, -0.232430, -0.252529, 
 24_1_2023 16:24:36,-0.095191, 0.197028, 0.349153, 1859.162598, 605.058777, -0.232430, -0.252529, 
 24_1_2023 16:24:36,-0.095191, -0.095171, 0.349153, 1859.162598, 605.058777, -0.232430, -0.252529, 
 24_1_2023 16:24:36,-0.095191, -0.095171, -0.177527, 1859.162598, 605.058777, -0.232430, -0.252529, 
 24_1_2023 16:24:36,-0.095191, -0.095171, -0.177527, 1859.158569, 605.058777, -0.232430, -0.252529, 
 24_1_2023 16:24:36,-0.095191, -0.095171, -0.177527, 1859.158569, 605.058777, -0.218125, -0.252529, 
 24_1_2023 16:24:36,-0.095191, -0.095171, -0.177527, 1859.158569, 605.058777, -0.218125, -0.255202, 
 24_1_2023 16:24:37,-0.573028, -0.095171, -0.177527, 1859.158569, 605.058777, -0.218125, -0.255202, 
 24_1_2023 16:24:37,-0.573028, 0.089606, -0.177527, 1859.158569, 605.058777, -0.218125, -0.255202, 
 24_1_2023 16:24:37,-0.573028, 0.089606, -0.115975, 1859.158569, 605.058777, -0.218125, -0.255202, 
 24_1_2023 16:24:37,-0.573028, 0.089606, -0.115975, 1859.154419, 605.058777, -0.218125, -0.255202, 
 24_1_2023 16:24:37,-0.573028, 0.089606, -0.115975, 1859.154419, 605.056580, -0.218125, -0.255202, 
 24_1_2023 16:24:37,-0.573028, 0.089606, -0.115975, 1859.154419, 605.056580, -0.189408, -0.255202, 
 24_1_2023 16:24:37,-0.573028, 0.089606, -0.115975, 1859.154419, 605.056580, -0.189408, -0.297610, 
 24_1_2023 16:24:38,0.694117, 0.089606, -0.115975, 1859.154419, 605.056580, -0.189408, -0.297610, 
 24_1_2023 16:24:38,0.694117, 0.035978, -0.115975, 1859.154419, 605.056580, -0.189408, -0.297610, 
 24_1_2023 16:24:38,0.694117, 0.035978, 0.173132, 1859.154419, 605.056580, -0.189408, -0.297610, 
 24_1_2023 16:24:38,0.694117, 0.035978, 0.173132, 1859.150269, 605.056580, -0.189408, -0.297610, 
 24_1_2023 16:24:38,0.694117, 0.035978, 0.173132, 1859.150269, 605.058533, -0.189408, -0.297610, 
 24_1_2023 16:24:38,0.694117, 0.035978, 0.173132, 1859.150269, 605.058533, -0.235041, -0.297610, 
 24_1_2023 16:24:38,0.694117, 0.035978, 0.173132, 1859.150269, 605.058533, -0.235041, -0.237252, 
 24_1_2023 16:24:39,0.683837, 0.035978, 0.173132, 1859.150269, 605.058533, -0.235041, -0.237252, 
 24_1_2023 16:24:39,0.683837, -0.107574, 0.173132, 1859.150269, 605.058533, -0.235041, -0.237252, 
 24_1_2023 16:24:39,0.683837, -0.107574, 0.082976, 1859.150269, 605.058533, -0.235041, -0.237252, 
 24_1_2023 16:24:39,0.683837, -0.107574, 0.082976, 1859.146118, 605.058533, -0.235041, -0.237252, 
 24_1_2023 16:24:39,0.683837, -0.107574, 0.082976, 1859.146118, 605.058533, -0.165243, -0.237252, 
 24_1_2023 16:24:39,0.683837, -0.107574, 0.082976, 1859.146118, 605.058533, -0.165243, -0.264838, 
 24_1_2023 16:24:40,0.281627, -0.107574, 0.082976, 1859.146118, 605.058533, -0.165243, -0.264838, 
 24_1_2023 16:24:40,0.281627, -0.031593, 0.082976, 1859.146118, 605.058533, -0.165243, -0.264838, 
 24_1_2023 16:24:40,0.281627, -0.031593, 1.844605, 1859.146118, 605.058533, -0.165243, -0.264838, 
 24_1_2023 16:24:40,0.281627, -0.031593, 1.844605, 1859.141968, 605.058533, -0.165243, -0.264838, 
 24_1_2023 16:24:40,0.281627, -0.031593, 1.844605, 1859.141968, 605.058533, -0.400063, -0.264838, 
 24_1_2023 16:24:40,0.281627, -0.031593, 1.844605, 1859.141968, 605.058533, -0.400063, -0.276265, 
 24_1_2023 16:24:41,0.211255, -0.031593, 1.844605, 1859.141968, 605.058533, -0.400063, -0.276265, 
 24_1_2023 16:24:41,0.211255, 0.295846, 1.844605, 1859.141968, 605.058533, -0.400063, -0.276265, 
 24_1_2023 16:24:41,0.211255, 0.295846, 1.910336, 1859.141968, 605.058533, -0.400063, -0.276265, 
 24_1_2023 16:24:41,0.211255, 0.295846, 1.910336, 1859.137817, 605.058533, -0.400063, -0.276265, 
 24_1_2023 16:24:41,0.211255, 0.295846, 1.910336, 1859.137817, 605.058472, -0.400063, -0.276265, 
 24_1_2023 16:24:41,0.211255, 0.295846, 1.910336, 1859.137817, 605.058472, -0.370282, -0.276265, 
 24_1_2023 16:24:41,0.211255, 0.295846, 1.910336, 1859.137817, 605.058472, -0.370282, -0.244413, 
 24_1_2023 16:24:42,-0.252468, 0.295846, 1.910336, 1859.137817, 605.058472, -0.370282, -0.244413, 
 24_1_2023 16:24:42,-0.252468, 0.102649, 1.910336, 1859.137817, 605.058472, -0.370282, -0.244413, 
 24_1_2023 16:24:42,-0.252468, 0.102649, 1.987953, 1859.137817, 605.058472, -0.370282, -0.244413, 
 24_1_2023 16:24:42,-0.252468, 0.102649, 1.987953, 1859.133667, 605.058472, -0.370282, -0.244413, 
 24_1_2023 16:24:42,-0.252468, 0.102649, 1.987953, 1859.133667, 605.057617, -0.370282, -0.244413, 
 24_1_2023 16:24:42,-0.252468, 0.102649, 1.987953, 1859.133667, 605.057617, -0.652037, -0.244413, 
 24_1_2023 16:24:42,-0.252468, 0.102649, 1.987953, 1859.133667, 605.057617, -0.652037, -0.332575, 
 24_1_2023 16:24:43,-0.837472, 0.102649, 1.987953, 1859.133667, 605.057617, -0.652037, -0.332575, 
 24_1_2023 16:24:43,-0.837472, -0.045275, 1.987953, 1859.133667, 605.057617, -0.652037, -0.332575, 
 24_1_2023 16:24:43,-0.837472, -0.045275, 1.910098, 1859.133667, 605.057617, -0.652037, -0.332575, 
 24_1_2023 16:24:43,-0.837472, -0.045275, 1.910098, 1859.129639, 605.057617, -0.652037, -0.332575, 
 24_1_2023 16:24:43,-0.837472, -0.045275, 1.910098, 1859.129639, 605.064453, -0.652037, -0.332575, 
 24_1_2023 16:24:43,-0.837472, -0.045275, 1.910098, 1859.129639, 605.064453, -0.539430, -0.332575, 
 24_1_2023 16:24:43,-0.837472, -0.045275, 1.910098, 1859.129639, 605.064453, -0.539430, -0.380245, 
 24_1_2023 16:24:44,-1.617862, -0.045275, 1.910098, 1859.129639, 605.064453, -0.539430, -0.380245, 
 24_1_2023 16:24:44,-1.617862, -0.076991, 1.910098, 1859.129639, 605.064453, -0.539430, -0.380245, 
 24_1_2023 16:24:44,-1.617862, -0.076991, 1.798211, 1859.129639, 605.064453, -0.539430, -0.380245, 
 24_1_2023 16:24:44,-1.617862, -0.076991, 1.798211, 1859.125488, 605.064453, -0.539430, -0.380245, 
 24_1_2023 16:24:44,-1.617862, -0.076991, 1.798211, 1859.125488, 605.073425, -0.539430, -0.380245, 
 24_1_2023 16:24:44,-1.617862, -0.076991, 1.798211, 1859.125488, 605.073425, -0.751228, -0.380245, 
 24_1_2023 16:24:44,-1.617862, -0.076991, 1.798211, 1859.125488, 605.073425, -0.751228, -0.346598, 
 24_1_2023 16:24:45,-2.280158, -0.076991, 1.798211, 1859.125488, 605.073425, -0.751228, -0.346598, 
 24_1_2023 16:24:45,-2.280158, -0.124772, 1.798211, 1859.125488, 605.073425, -0.751228, -0.346598, 
 24_1_2023 16:24:45,-2.280158, -0.124772, 1.757822, 1859.125488, 605.073425, -0.751228, -0.346598, 
 24_1_2023 16:24:45,-2.280158, -0.124772, 1.757822, 1859.121338, 605.073425, -0.751228, -0.346598, 
 24_1_2023 16:24:45,-2.280158, -0.124772, 1.757822, 1859.121338, 605.090759, -0.751228, -0.346598, 
 24_1_2023 16:24:45,-2.280158, -0.124772, 1.757822, 1859.121338, 605.090759, -0.595684, -0.346598, 
 24_1_2023 16:24:45,-2.280158, -0.124772, 1.757822, 1859.121338, 605.090759, -0.595684, -0.307292, 
 24_1_2023 16:24:46,-2.304233, -0.124772, 1.757822, 1859.121338, 605.090759, -0.595684, -0.307292, 
 24_1_2023 16:24:46,-2.304233, 0.205759, 1.757822, 1859.121338, 605.090759, -0.595684, -0.307292, 
 24_1_2023 16:24:46,-2.304233, 0.205759, 1.773076, 1859.121338, 605.090759, -0.595684, -0.307292, 
 24_1_2023 16:24:46,-2.304233, 0.205759, 1.773076, 1859.117188, 605.090759, -0.595684, -0.307292, 
 24_1_2023 16:24:46,-2.304233, 0.205759, 1.773076, 1859.117188, 605.124084, -0.595684, -0.307292, 
 24_1_2023 16:24:46,-2.304233, 0.205759, 1.773076, 1859.117188, 605.124084, -0.667638, -0.307292, 
 24_1_2023 16:24:46,-2.304233, 0.205759, 1.773076, 1859.117188, 605.124084, -0.667638, -0.480938, 
 24_1_2023 16:24:47,-2.915751, 0.205759, 1.773076, 1859.117188, 605.124084, -0.667638, -0.480938, 
