ACCELERATION BODY X,ACCELERATION BODY Y,ACCELERATION BODY Z,TOTAL WEIGHT,PLANE ALTITUDE,ATTITUDE INDICATOR PITCH DEGREES,ATTITUDE INDICATOR BANK DEGREES
2_2_2023 20:6:11,0.031356,-0.007509,-0.012703,4294.870117,17382.68555,-0.560414,0.036865
2_2_2023 20:6:11,0.031356,-0.007509,-0.014257,4294.870117,17382.68555,-0.560414,0.036865
2_2_2023 20:6:11,0.031356,-0.007509,-0.014257,4294.838867,17382.68555,-0.560414,0.036865
2_2_2023 20:6:11,0.031356,-0.007509,-0.014257,4294.838867,17382.68555,-0.55789,0.036865
2_2_2023 20:6:11,0.031356,-0.007509,-0.014257,4294.838867,17382.68555,-0.55789,0.051157
2_2_2023 20:6:12,0.00365,-0.007509,-0.014257,4294.838867,17382.68555,-0.55789,0.051157
2_2_2023 20:6:12,0.00365,-0.005274,-0.014257,4294.838867,17382.68555,-0.55789,0.051157
2_2_2023 20:6:12,0.00365,-0.005274,-0.016704,4294.838867,17382.68555,-0.55789,0.051157
2_2_2023 20:6:12,0.00365,-0.005274,-0.016704,4294.806641,17382.68555,-0.55789,0.051157
2_2_2023 20:6:12,0.00365,-0.005274,-0.016704,4294.806641,17382.68555,-0.558492,0.051157
2_2_2023 20:6:12,0.00365,-0.005274,-0.016704,4294.806641,17382.68555,-0.558492,0.044095
2_2_2023 20:6:13,-0.008298,-0.005274,-0.016704,4294.806641,17382.68555,-0.558492,0.044095
2_2_2023 20:6:13,-0.008298,0.031883,-0.016704,4294.806641,17382.68555,-0.558492,0.044095
2_2_2023 20:6:13,-0.008298,0.031883,-0.024397,4294.806641,17382.68555,-0.558492,0.044095
2_2_2023 20:6:13,-0.008298,0.031883,-0.024397,4294.775391,17382.68555,-0.558492,0.044095
2_2_2023 20:6:13,-0.008298,0.031883,-0.024397,4294.775391,17382.68555,-0.558432,0.044095
2_2_2023 20:6:13,-0.008298,0.031883,-0.024397,4294.775391,17382.68555,-0.558432,0.06603
